account,is_suspicious,lr_risk_score,gnn_risk_score,ensemble_score,risk_label
A327,0,0.7003433263915362,0.39422135391409363,0.5472823401528149,1
A57,1,0.8133046694103799,0.662824620206408,0.738064644808394,1
A71,0,0.636440916520868,0.45971310844542057,0.5480770124831442,1
A377,0,0.4243331251261631,0.4470242750787074,0.43567870010243526,0
A216,1,0.5876350777319055,0.5212565319704796,0.5544458048511925,1
A16,0,0.48567890001019026,0.5365578985497319,0.511118399279961,1
A258,0,0.588134791269208,0.5676808986750347,0.5779078449721213,1
A308,1,0.6698618440356161,0.5160411815255831,0.5929515127805995,1
A332,0,0.3664242796918864,0.4975619470834536,0.43199311338767,0
A359,1,0.6694955935909007,0.7338760080438528,0.7016858008173767,1
A301,1,0.5267251853045479,0.49362749074601947,0.5101763380252837,1
A142,0,0.554715742819528,0.5105722360587011,0.5326439894391145,1
A81,0,0.633181453163111,0.5232841981164924,0.5782328256398017,1
A357,0,0.44677955904432926,0.5520525441980724,0.49941605162120084,0
A110,1,0.6484349989031535,0.6770604738018489,0.6627477363525012,1
A490,0,0.6860501334571358,0.6119236043909206,0.6489868689240282,1
A194,1,0.7027015603628232,0.5649269918609868,0.633814276111905,1
A49,1,0.6998011381766606,0.5963370861319975,0.648069112154329,1
A413,0,0.6295346872879714,0.573074696992695,0.6013046921403331,1
A22,1,0.7390501674391681,0.6767192785671758,0.707884723003172,1
A498,0,0.5214365446460327,0.4420880957683067,0.4817623202071697,0
A472,0,0.4816316891212318,0.5621207075026056,0.5218761983119187,1
A424,1,0.6910039433239655,0.44008287844450356,0.5655434108842345,1
A321,1,0.8340237749038848,0.8235588509205594,0.8287913129122221,1
A360,0,0.4182715109176347,0.4765534699558096,0.44741249043672215,0
A35,0,0.495979832694762,0.4436906870950641,0.46983525989491304,0
A40,1,0.6822388911970679,0.6444415446969813,0.6633402179470247,1
A437,1,0.36896726762216037,0.5345471849906303,0.4517572263063953,0
A232,1,0.49684874198448964,0.5994053337816144,0.5481270378830521,1
A325,0,0.5144911805043342,0.4666606754954018,0.490575927999868,0
A181,0,0.4792915938633787,0.46152075269723974,0.4704061732803092,0
A107,0,0.4310535037873576,0.4970519531522776,0.4640527284698176,0
A349,1,0.5951313991301593,0.7286072888959799,0.6618693440130696,1
A331,1,0.49038310955499004,0.48234365379508054,0.4863633816750353,0
A273,1,0.7101836420951242,0.9172225110745135,0.8137030765848188,1
A373,1,0.5586299776918807,0.49983360367510377,0.5292317906834922,1
A138,0,0.4739956796635178,0.4004747157982525,0.43723519773088515,0
A473,1,0.5610272393210067,0.6284857179502726,0.5947564786356396,1
A166,0,0.5887876097831799,0.5157907433340776,0.5522891765586287,1
A431,1,0.403915517829554,0.41847338740917833,0.41119445261936616,0
A412,1,0.46125622459445736,0.43212935075432757,0.44669278767439247,0
A108,0,0.5093135196782658,0.5921018363768135,0.5507076780275396,1
A467,0,0.3977252787813508,0.5779824007655863,0.4878538397734685,0
A161,0,0.4651086297643062,0.47526092428928735,0.4701847770267968,0
A468,0,0.23571912300494147,0.4390685152021826,0.33739381910356203,0
A329,0,0.4220424081212346,0.41397790057470374,0.4180101543479692,0
A126,1,0.3663139592671669,0.38928808559637706,0.377801022431772,0
A381,0,0.6739381219697042,0.7001572021486262,0.6870476620591652,1
A299,0,0.3795379006359519,0.6090324000104633,0.49428515032320763,0
A219,0,0.31721263391392496,0.47117360454868545,0.3941931192313052,0
A112,1,0.42699768936599247,0.5424858561226905,0.4847417727443415,0
A70,0,0.5273735295911419,0.5729673957843018,0.5501704626877219,1
A24,1,0.3972657564489847,0.4595872848638753,0.42842652065643,0
A440,1,0.704950982720121,0.5939251947496414,0.6494380887348812,1
A405,0,0.5343936117991767,0.4775797641518061,0.5059866879754914,1
A348,1,0.3792593723073728,0.4820531610836696,0.43065626669552115,0
A195,0,0.6127576592399957,0.6854531949202154,0.6491054270801055,1
A305,0,0.5348438990197717,0.6219017068538287,0.5783728029368003,1
A283,1,0.6252983287023057,0.5932104169998026,0.6092543728510542,1
A58,1,0.505136516299764,0.5120022668537512,0.5085693915767575,1
A393,1,0.4570648798172732,0.466542282131412,0.4618035809743426,0
A328,0,0.42670849080441964,0.6336726400603897,0.5301905654324046,1
A80,1,0.4076418533391967,0.428363422032058,0.4180026376856274,0
A390,0,0.7950414476462884,0.7727390943820562,0.7838902710141723,1
A91,1,0.6971271834944546,0.5199560857340435,0.608541634614249,1
A152,0,0.3313902297131563,0.5720442417573215,0.4517172357352389,0
A430,1,0.3446353851292416,0.4949499616048159,0.41979267336702875,0
A78,1,0.709031637996998,0.4553147281001339,0.5821731830485659,1
A191,1,0.5593235451077813,0.505535572824574,0.5324295589661776,1
A398,0,0.30757053936421724,0.4360185801499122,0.3717945597570647,0
A250,1,0.5334916729101142,0.4460708944595447,0.4897812836848294,0
A9,1,0.5316287608307735,0.4340309693796757,0.48282986510522463,0
A425,1,0.6671505453046415,0.5132406477375716,0.5901955965211065,1
A449,0,0.3010697747149156,0.5624450763467758,0.4317574255308457,0
A290,1,0.3533172378081223,0.4951113337733101,0.4242142857907162,0
A248,1,0.7500105019756337,0.4568931085554497,0.6034518052655417,1
A417,1,0.35453583261888977,0.4533331100418324,0.4039344713303611,0
A65,0,0.3809646921203608,0.35942472533791686,0.37019470872913884,0
A337,1,0.7962054937785493,0.8152305341328293,0.8057180139556893,1
A270,0,0.2971368681220363,0.5003805192614031,0.39875869369171973,0
A446,1,0.5660226132652446,0.4265099715546649,0.4962662924099548,0
A475,1,0.5820242023307134,0.5182764081771694,0.5501503052539414,1
A276,1,0.7204712592110843,0.7580496328907625,0.7392604460509234,1
A204,0,0.4363812615692006,0.4441793871728925,0.4402803243710466,0
A343,1,0.7601317063786468,0.7706945046000696,0.7654131054893583,1
A264,0,0.4315545049567572,0.4212463329261451,0.42640041894145114,0
A231,0,0.4488633322729301,0.756476434664764,0.6026698834688471,1
A173,0,0.24558078072857972,0.3648831554680856,0.30523196809833264,0
A10,1,0.7167726074510455,0.7187744393688268,0.7177735234099362,1
A3,1,0.5067877533660504,0.8255250260965521,0.6661563897313012,1
A463,1,0.5689394010753823,0.3756824165503297,0.472310908812856,0
A121,1,0.3551746989726393,0.5572608108478159,0.4562177549102276,0
A67,1,0.5413969081211036,0.5346990183786563,0.53804796324988,1
A370,1,0.3755207019584342,0.4752276653495699,0.42537418365400204,0
A124,0,0.3251485306779058,0.4982139817646207,0.4116812562212632,0
A401,1,0.8090166212410703,0.7206192533199768,0.7648179372805235,1
A239,0,0.30874854696551585,0.4077443693661252,0.3582464581658205,0
A442,0,0.533345223399209,0.44735812780689344,0.4903516756030512,0
A330,1,0.8041262473998001,0.8262993775962635,0.8152128124980318,1
A50,0,0.33198719091961915,0.5583972576214181,0.44519222427051863,0
A409,0,0.4950567504875967,0.40280567089258795,0.44893121069009234,0
A441,1,0.6000400154711167,0.6148817845962168,0.6074609000336668,1
A274,0,0.3594489794333447,0.5805075476412452,0.469978263537295,0
A229,0,0.2926096399252628,0.39162392515734956,0.3421167825413062,0
A236,1,0.5750758848505013,0.4826752062513914,0.5288755455509464,1
A127,1,0.7628247770983888,0.7895465735516954,0.7761856753250421,1
A438,1,0.5285732085584919,0.4894429692590654,0.5090080889087787,1
A428,1,0.5572866477702061,0.5490184183635781,0.553152533066892,1
A434,1,0.5401595574475991,0.6069329118055811,0.57354623462659,1
A109,1,0.5676752054997452,0.5171787458043529,0.542426975652049,1
A1,1,0.7394600848492349,0.523842987556368,0.6316515362028015,1
A199,1,0.5302014254853179,0.5193767834423634,0.5247891044638406,1
A356,0,0.5487159051666977,0.702120551192393,0.6254182281795453,1
A249,0,0.4758094611900467,0.392342180070711,0.43407582063037886,0
A79,1,0.5405395631157828,0.7544563750101875,0.6474979690629852,1
A29,0,0.4186720796770853,0.4949399124005624,0.4568059960388239,0
A296,1,0.3612000534626562,0.3991717412224766,0.3801858973425664,0
A160,0,0.5448354115042425,0.6425184174629841,0.5936769144836134,1
A470,0,0.3234909824654001,0.3996217718529098,0.36155637715915495,0
A436,0,0.7308407789901691,0.8681669574902882,0.7995038682402287,1
A260,1,0.3071442024202129,0.3962857862882717,0.3517149943542423,0
A41,0,0.46236326533585353,0.46389978855418695,0.46313152694502024,0
A34,1,0.3828639673358504,0.4896731129445575,0.43626854014020394,0
A345,0,0.4428856574468301,0.3386625242647222,0.3907740908557762,0
A482,1,0.5196375345313539,0.3918036610675914,0.4557205977994726,0
A455,0,0.5338169743891672,0.5133704578514731,0.5235937161203201,1
A20,0,0.46850388701351064,0.6264648290390731,0.5474843580262918,1
A317,0,0.6114535615310224,0.6332186819397916,0.622336121735407,1
A289,1,0.5068479618919659,0.6238357604999294,0.5653418611959476,1
A267,0,0.5791630375978819,0.6078648117352127,0.5935139246665473,1
A366,1,0.5611692767479072,0.5010197865542827,0.5310945316510949,1
A384,1,0.3728354185522608,0.5764879324647013,0.47466167550848104,0
A479,1,0.4566435190377097,0.47915824830469855,0.46790088367120414,0
A288,0,0.4309521983646146,0.3891126116485927,0.41003240500660365,0
A51,1,0.6790040903981348,0.6841778875170941,0.6815909889576144,1
A135,0,0.565588383230704,0.6059392798011035,0.5857638315159037,1
A450,0,0.4304385339541709,0.4082920201942379,0.4193652770742044,0
A125,1,0.5601084389056863,0.6353128337446937,0.5977106363251901,1
A426,1,0.47937921841466824,0.3824975921339106,0.4309384052742894,0
A278,0,0.4025675335436592,0.6503868329062132,0.5264771832249362,1
A334,0,0.35338344705078245,0.4311218700637809,0.39225265855728164,0
A153,1,0.6028322951145018,0.7287142060423365,0.6657732505784191,1
A68,1,0.6582619086525603,0.35679733556996,0.5075296221112602,1
A139,0,0.3912735784100687,0.3308430720413605,0.36105832522571457,0
A175,1,0.5821421658359293,0.5683518689514117,0.5752470173936705,1
A104,1,0.42970127210064835,0.4331376356234857,0.43141945386206704,0
A128,1,0.6721164418497128,0.5967120203122623,0.6344142310809875,1
A394,1,0.8292382734430583,0.8667077298436466,0.8479730016433524,1
A66,0,0.4126057738066421,0.4868808734290086,0.4497433236178253,0
A226,1,0.4430410956003808,0.44147629723715354,0.44225869641876714,0
A282,0,0.3696207530059243,0.4471092808638736,0.4083650169348989,0
